trialId,model,specType,turns,totalTokens,inputTokens,outputTokens,fileWrites,fileReads,fileRewrites,tscAttempts,tscPasses,tscFails,demoAttempts,demoPasses,demoFails,otherCommands,otherCommandFails,toolErrors,constraintViolations,totalFiles,totalLines,judgeArch,judgeComp,judgeQual,judgeConstr,judgeOverall,hitMaxTurns,durationMs
structured-2,GPT-5,structured,39,638619,601097,37522,22,2,11,9,1,8,2,1,1,2,0,9,0,10,677,7,8,8,6,7.25,false,424553
structured-3,GPT-5,structured,28,305974,280029,25945,16,1,5,7,2,5,1,1,0,2,0,5,0,10,727,6,8,7,6,6.75,false,338695
typescript-contracts-1,GPT-5,typescript-contracts,23,254288,232083,22205,13,1,2,2,0,2,3,1,2,2,0,4,0,10,856,7,9,8,7,7.75,false,279847
typescript-contracts-2,GPT-5,typescript-contracts,22,252230,224386,27844,16,0,5,1,0,1,4,1,3,0,0,4,0,10,869,6,8,8,6,7,false,296526
typescript-contracts-3,GPT-5,typescript-contracts,22,214174,190110,24064,13,1,2,4,1,3,1,0,1,2,0,4,0,10,825,7,9,8,7,7.75,false,313688
c4-1,Gemini 2.5 Flash,c4,25,606937,593349,13588,16,1,5,5,1,4,0,0,0,2,0,4,0,10,985,8,8,8,8,8,false,206125
c4-2,Gemini 2.5 Flash,c4,6,36946,34099,2847,6,0,0,0,0,0,0,0,0,0,0,0,0,6,376,5,4,6,6,5.25,false,36152
c4-3,Gemini 2.5 Flash,c4,10,118683,107456,11227,9,1,1,0,0,0,0,0,0,0,0,0,0,8,1104,7,7,8,7,7.25,false,95832
openapi-1,Gemini 2.5 Flash,openapi,6,52958,49866,3092,6,0,0,0,0,0,0,0,0,0,0,0,0,6,430,7,5,8,7,6.75,false,82955
openapi-2,Gemini 2.5 Flash,openapi,20,296877,286549,10328,13,0,3,5,1,4,0,0,0,1,0,4,0,9,1023,6,7,7,6,6.5,false,122984
openapi-3,Gemini 2.5 Flash,openapi,5,38816,36448,2368,5,0,0,0,0,0,0,0,0,0,0,0,0,5,323,7,4,7,7,6.25,false,22733
prose-1,Gemini 2.5 Flash,prose,6,31036,27200,3836,6,0,0,0,0,0,0,0,0,0,0,0,1,6,447,5,4,6,4,4.75,false,102757
prose-2,Gemini 2.5 Flash,prose,6,24474,21903,2571,6,0,0,0,0,0,0,0,0,0,0,0,0,6,346,6,4,7,6,5.75,false,32370
prose-3,Gemini 2.5 Flash,prose,31,426924,407813,19111,24,0,12,4,1,3,0,0,0,2,0,3,0,11,1024,7,7,7,6,6.75,false,216103
structured-1,Gemini 2.5 Flash,structured,5,23893,21776,2117,5,0,0,0,0,0,0,0,0,0,0,0,0,5,272,6,4,7,6,5.75,false,27306
structured-2,Gemini 2.5 Flash,structured,23,354172,343107,11065,15,0,5,5,1,4,0,0,0,2,0,4,0,9,820,6,8,7,6,6.75,false,194570
structured-3,Gemini 2.5 Flash,structured,5,31062,27350,3712,5,0,0,0,0,0,0,0,0,0,0,0,0,5,446,6,4,7,5,5.5,false,36212
typescript-contracts-1,Gemini 2.5 Flash,typescript-contracts,29,596771,572777,23994,22,0,11,4,1,3,0,0,0,2,0,3,0,10,1152,7,8,8,7,7.5,false,255493
typescript-contracts-2,Gemini 2.5 Flash,typescript-contracts,23,348807,334444,14363,15,1,4,4,1,3,0,0,0,2,0,3,0,10,987,5,8,7,5,6.25,false,215397
typescript-contracts-3,Gemini 2.5 Flash,typescript-contracts,23,353149,340511,12638,15,0,4,5,1,4,0,0,0,2,0,4,0,10,972,5,8,7,5,6.25,false,222566
c4-1,Gemini 2.5 Pro,c4,5,29435,27393,2042,5,0,0,0,0,0,0,0,0,0,0,0,0,5,292,7,4,7,6,6,false,323785
c4-2,Gemini 2.5 Pro,c4,28,443988,428133,15855,16,5,6,4,1,3,0,0,0,2,0,3,0,9,828,7,7,7,8,7.25,false,302878
c4-3,Gemini 2.5 Pro,c4,22,256172,247484,8688,14,3,3,3,1,2,0,0,0,1,0,2,1,9,685,7,6,7,7,6.75,false,269423
openapi-1,Gemini 2.5 Pro,openapi,18,216744,207849,8895,11,1,1,1,0,1,4,2,2,0,0,3,0,9,744,6,7,8,6,6.75,false,326635
openapi-2,Gemini 2.5 Pro,openapi,21,285105,272564,12541,15,0,5,4,1,3,0,0,0,1,0,3,0,9,751,6,8,7,6,6.75,false,289269
openapi-3,Gemini 2.5 Pro,openapi,15,160355,152478,7877,11,0,0,2,1,1,0,0,0,1,0,1,0,9,763,7,7,8,7,7.25,false,188937
prose-1,Gemini 2.5 Pro,prose,26,232674,223018,9656,16,1,6,6,1,5,0,0,0,2,0,5,2,9,602,6,6,6,7,6.25,false,249445
prose-2,Gemini 2.5 Pro,prose,16,100233,93571,6662,12,0,0,2,1,1,0,0,0,1,0,1,1,10,656,5,6,7,5,5.75,false,174597
prose-3,Gemini 2.5 Pro,prose,15,104006,96667,7339,11,0,1,1,0,1,2,1,1,0,0,2,1,9,697,6,5,6,5,5.5,false,190253
structured-1,Gemini 2.5 Pro,structured,22,226869,218286,8583,13,2,3,6,1,5,0,0,0,0,0,5,0,9,716,7,8,8,7,7.5,false,299995
structured-2,Gemini 2.5 Pro,structured,27,426693,412841,13852,15,4,5,5,1,4,0,0,0,2,0,4,0,9,772,6,7,7,6,6.5,false,354215
structured-3,Gemini 2.5 Pro,structured,20,257097,246144,10953,15,0,5,3,1,2,0,0,0,1,0,2,3,9,690,4,7,6,4,5.25,false,277780
typescript-contracts-1,Gemini 2.5 Pro,typescript-contracts,41,867164,847798,19366,27,5,15,6,1,5,0,0,0,1,0,5,0,10,850,6,8,7,6,6.75,false,398499
typescript-contracts-2,Gemini 2.5 Pro,typescript-contracts,50,1001883,987261,14622,22,12,10,9,2,7,2,0,2,4,0,9,0,10,863,6,8,8,5,6.75,true,459264
typescript-contracts-3,Gemini 2.5 Pro,typescript-contracts,22,318567,305562,13005,15,2,4,4,1,3,0,0,0,0,0,3,0,11,984,0,0,0,0,0,false,288889
